Log file created at: 2019/05/23 18:18:41
Running on machine: live2.sanhai
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
E0523 18:18:41.344225 31141 webserver.cpp:269] 接口返回数据异常 ret:-1  错误信息:
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
### The error may involve com.dbr.eduLive.Dao.ServiceDao.serverInsert-Inline
### The error occurred while setting parameters
### SQL: insert into server_info    (      netFlag    ,     serverType    ,     serverName    ,     serverApi    )    values    (      ?    ,     ?    ,     ?    ,     ?    )
### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
; SQL []; Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像01-192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
E0523 18:18:41.344602 31141 webserver.cpp:514] 解析注册录制 数据失败 main_ret:-1
E0523 18:28:17.441234 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:22.451990 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:27.461618 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:32.471627 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:37.481889 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:42.491680 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:47.498191 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:52.507896 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:28:57.518123 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:02.528076 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:07.537869 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:12.548136 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:17.554158 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:22.564072 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:27.570940 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:32.581008 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:37.591204 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:42.601120 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:47.611193 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:52.621037 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:29:57.631002 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:02.638126 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:07.648015 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:12.654175 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:17.663950 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:22.674144 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:27.683992 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:32.693931 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:37.704003 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:42.712267 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:47.722295 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:52.730022 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:30:57.737022 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:31:02.747058 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:31:07.757189 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:31:12.764305 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:31:17.774245 31158 webserver.cpp:297] 定时上传  main_ret:0
E0523 18:31:22.783977 31158 webserver.cpp:297] 定时上传  main_ret:0
