record_Server :[tid: 26286]
http://192.168.1.205:8080/live/server_create/live/server_delete/live/server_select/live/live_update
E0910 15:18:31.808790 26286 webserver.cpp:264] 接口返回数据异常 ret:-1  错误信息:
### Error updating database.  Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
### The error may involve com.dbr.eduLive.Dao.ServiceDao.serverInsert-Inline
### The error occurred while setting parameters
### SQL: insert into server_info    (      netFlag    ,     serverType    ,     serverName    ,     serverApi    )    values    (      ?    ,     ?    ,     ?    ,     ?    )
### Cause: java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
; SQL []; Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'LIVE录像-http://192.168.1.206:8081/live/record' for key 'IDX_server_info_np'
E0910 15:18:31.809602 26286 webserver.cpp:515] 解析注册录制 数据失败 main_ret:-1
httpServer_fun :[tid: 26288]
server starting
time url:http://192.168.1.205:8080/live/server_update?serverId=&netFlag=1
E0910 15:24:10.563798 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:12.209708 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:13.852437 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:15.666429 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:17.314401 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:19.126183 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:20.777513 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:22.425441 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:24.215373 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:25.862008 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:27.511096 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:29.308491 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:30.958199 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:32.798251 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:34.444224 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:36.092705 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:37.918385 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:39.564204 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:41.212474 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:43.068459 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:44.715314 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:46.361491 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:48.136947 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:49.778379 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:51.510012 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:53.150498 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:54.791481 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:56.515619 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:58.158628 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:24:59.802325 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:01.516896 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:03.149420 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:04.797328 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:06.632966 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:08.278676 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:10.011281 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
E0910 15:25:11.652909 27791 CCycleBuffer.cpp:161] 缓冲区数据不足 m_usedSize:0  count:11
